eventID,orig_term,measurementValue,measurementType,measurementAccuracy,measurementUnit,measurementTypeID,measurementUnitID
WS17275:stnLK:500um:2017-10-10T19:10:00,distance_m,247.205,Length of sampling track,,metres,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
WS17275:stnLK:500um:2017-10-10T19:10:00,net_size,0.5,Sampling device aperture diameter,,metres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100012/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
WS17275:stnLK:500um:2017-10-10T19:10:00,net_area,0.785398163397448,Sampling device aperture surface area,,per square metre,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100017/,http://vocab.nerc.ac.uk/collection/P06/current/PMSQ/
WS17275:stnLK:500um:2017-10-10T19:10:00,flowmeter_in,0,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
WS17275:stnLK:500um:2017-10-10T19:10:00,flowmeter_out,1009,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
WS17275:stnLK:500um:2017-10-10T19:10:00,dillution,500,,,milliliter,,
WS17275:stnLK:500um:2017-10-10T19:10:00,dillution_factor,100,,,,,
WS17275:stnLK:500um:2017-10-10T19:10:00,split_amount,0,Sub-sampling coefficient,,decimal,http://vocab.nerc.ac.uk/collection/P01/current/SSAMPC01/,
WS17275:stnLK:500um:2017-10-10T19:10:00,splits_analyzed,0,,,,,
WS17275:stnLK:500um:2017-10-10T19:10:00,volume_filt_cubic_m,48.5385882456665,Sample volume (filtration) by measuring cylinder,,per cubic metre,http://vocab.nerc.ac.uk/collection/P01/current/VOLFMCXX/,http://vocab.nerc.ac.uk/collection/P06/current/PCUM/
WS17275:stnLK:500um:2017-10-10T19:10:00,pipette_vol_m_l,5,,,milliliter,,
WS17275:stnLK:500um:2017-10-10T19:10:00,ind_m3,1.37347766199096,Abundance,,Number per cubic metre,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/
WS17275:stnLK:500um:2017-10-10T19:10:00,number_ind_sample,66.6666667,Count (in assayed sample) of biological entity specified elsewhere,,Count of Biological Entity,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P09/current/OCNT/
WS17275:stnLK:500um:2017-10-10T19:10:00,tow_time_min,5,Sample Duration,,Minutes,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/
WS17275:stnLK:500um:2017-10-10T19:10:00,ship_speed_knots,1.5,Speed of towing platform,,Knots (nautical miles per hour),http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,http://vocab.nerc.ac.uk/collection/P06/current/UKNT/
WS17275:stnLK:500um:2017-10-10T19:10:00,split_size,0.5,,,,,
WS17275:stnLK:500um:2017-10-10T19:10:00,tow_speed_m_sec,0.824016666666667,Speed,,Metres per second,http://vocab.nerc.ac.uk/collection/S06/current/S0600152/,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
WS17275:stnLK:500um:2017-10-10T19:10:00,mesh,500,Sampling net mesh size,,Micrometres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/
WS17275:stnLK:500um:2017-10-10T19:10:00,microscopy,microscopy,microscopy,,,http://vocab.nerc.ac.uk/collection/S04/current/S0419/,
WS18008:stnMR:200um:2018-01-09T01:01:00,distance_m,214.5955,Length of sampling track,,metres,http://vocab.nerc.ac.uk/collection/P01/current/LENTRACK/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
WS18008:stnMR:200um:2018-01-09T01:01:00,net_size,0.5,Sampling device aperture diameter,,metres,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100012/,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
WS18008:stnMR:200um:2018-01-09T01:01:00,net_area,0.785398163397448,Sampling device aperture surface area,,per square metre,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100017/,http://vocab.nerc.ac.uk/collection/P06/current/PMSQ/
WS18008:stnMR:200um:2018-01-09T01:01:00,flowmeter_in,0,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
WS18008:stnMR:200um:2018-01-09T01:01:00,flowmeter_out,875.9,flow meters,,,http://vocab.nerc.ac.uk/collection/L05/current/388/,
WS18008:stnMR:200um:2018-01-09T01:01:00,dillution,1000,,,milliliter,,
WS18008:stnMR:200um:2018-01-09T01:01:00,dillution_factor,200,,,,,
WS18008:stnMR:200um:2018-01-09T01:01:00,split_amount,,Sub-sampling coefficient,,decimal,http://vocab.nerc.ac.uk/collection/P01/current/SSAMPC01/,
WS18008:stnMR:200um:2018-01-09T01:01:00,splits_analyzed,0,,,,,
WS18008:stnMR:200um:2018-01-09T01:01:00,volume_filt_cubic_m,42.1357278933393,Sample volume (filtration) by measuring cylinder,,per cubic metre,http://vocab.nerc.ac.uk/collection/P01/current/VOLFMCXX/,http://vocab.nerc.ac.uk/collection/P06/current/PCUM/
WS18008:stnMR:200um:2018-01-09T01:01:00,pipette_vol_m_l,5,,,milliliter,,
WS18008:stnMR:200um:2018-01-09T01:01:00,ind_m3,4.74656568189049,Abundance,,Number per cubic metre,http://vocab.nerc.ac.uk/collection/S06/current/S0600002/,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/
WS18008:stnMR:200um:2018-01-09T01:01:00,number_ind_sample,200,Count (in assayed sample) of biological entity specified elsewhere,,Count of Biological Entity,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,http://vocab.nerc.ac.uk/collection/P09/current/OCNT/
WS18008:stnMR:200um:2018-01-09T01:01:00,tow_time_min,8,Sample Duration,,Minutes,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/
WS18008:stnMR:200um:2018-01-09T01:01:00,ship_speed_knots,1.5,Speed of towing platform,,Knots (nautical miles per hour),http://vocab.nerc.ac.uk/collection/P01/current/TOWSPEED/,http://vocab.nerc.ac.uk/collection/P06/current/UKNT/
WS18008:stnMR:200um:2018-01-09T01:01:00,split_size,0.5,,,,,
WS18008:stnMR:200um:2018-01-09T01:01:00,tow_speed_m_sec,0.447073958333333,Speed,,Metres per second,http://vocab.nerc.ac.uk/collection/S06/current/S0600152/,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/
